form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komkakchingmantak001,no_stem,1.sg,kei,kei,kei,k e i,k e i,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak002,no_stem,1.pl.excl,keini,keini,kei+ni,k e i n i,k e i + n i,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak003,no_stem,1.pl.incl,eini,eini,ei+ni,e i n i,e i + n i,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,unspecified,,,Kanshouwa2026Kakchingmantak,nopage,komkakchingmantak
komkakchingmantak008,che,1.sg.fut.aff,che-sik-kani,Σ-sik-kani,Σ+sik+ka+ni,Σ s i k k a n i,Σ + s i k + k a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak009,che,1.sg.fut.aff,che-ka-te,Σ-ka-te,Σ+ka+te,Σ k a t e,Σ + k a + t e,dialect_var,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak010,che,1.pl.excl.fut.aff,che-sik-kinni,Σ-sik-kinni,Σ+sik+ki+n+ni,Σ s i k k i n n i,Σ + s i k + k i + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak011,che,1.pl.excl.fut.aff,che-sik-kanni,Σ-sik-kanni,Σ+sik+ka+n+ni,Σ s i k k a n n i,Σ + s i k + k a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak012,che,1.pl.incl.fut.aff,che-sik-nani,Σ-sik-nani,Σ+sik+na+ni,Σ s i k n a n i,Σ + s i k + n a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak013,che,1.pl.incl.fut.aff,che-sik-nini,Σ-sik-nini,Σ+sik+ni+ni,Σ s i k n i n i,Σ + s i k + n i + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak014,mudang,1.sg.2.sg.fut.aff,na-mudang-sik-kani,na-Σ-sik-kani,na+Σ+sik+ka+ni,n a Σ s i k k a n i,n a + Σ + s i k + k a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak015,mudang,1.sg.2.pl.fut.aff,mudang-sik-kani,Σ-sik-kani,Σ+sik+ka+ni,Σ s i k k a n i,Σ + s i k + k a + n i,sociolect_var,,optional_sap_o,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak016,mudang,1.sg.2.pl.fut.aff,na-mudang-sik-kani,na-Σ-sik-kani,na+Σ+sik+ka+ni,n a Σ s i k k a n i,n a + Σ + s i k + k a + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
komkakchingmantak017,mudang,1.pl.excl.2.sg.fut.aff,na-mudang-sik-kanni,na-Σ-sik-kanni,na+Σ+sik+ka+n+ni,n a Σ s i k k a n n i,n a + Σ + s i k + k a + n + n i,unspecified,,,Kanshouwa2026KakchingMantakKom,nopage,komkakchingmantak
