morph_id,morph,position,in_cells,in_forms,language_id
komkakchingmantakM01,a,free,3.sg; 3.pl,komkakchingmantak006; komkakchingmantak007,komkakchingmantak
komkakchingmantakM02,a,post,3.sg.fut.aff,komkakchingmantak049,komkakchingmantak
komkakchingmantakM03,a,pre,3.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff,komkakchingmantak189; komkakchingmantak193; komkakchingmantak195; komkakchingmantak196; komkakchingmantak204; komkakchingmantak209; komkakchingmantak210,komkakchingmantak
komkakchingmantakM04,a n,post,3.pl.fut.aff; 3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff,komkakchingmantak052; komkakchingmantak053; komkakchingmantak058; komkakchingmantak059; komkakchingmantak061; komkakchingmantak062; komkakchingmantak063; komkakchingmantak066; komkakchingmantak067; komkakchingmantak070; komkakchingmantak071,komkakchingmantak
komkakchingmantakM05,a n,pre,3.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff,komkakchingmantak190; komkakchingmantak199; komkakchingmantak200; komkakchingmantak201; komkakchingmantak202; komkakchingmantak206; komkakchingmantak208; komkakchingmantak211; komkakchingmantak212,komkakchingmantak
komkakchingmantakM06,aa,pre,3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff,komkakchingmantak192; komkakchingmantak194; komkakchingmantak197; komkakchingmantak203; komkakchingmantak205,komkakchingmantak
komkakchingmantakM07,e h,post,2.sg.nfut.neg,komkakchingmantak250,komkakchingmantak
komkakchingmantakM08,e i,free,1.pl.incl,komkakchingmantak003,komkakchingmantak
komkakchingmantakM09,i n,pre,3.pl.nfut.aff,komkakchingmantak191,komkakchingmantak
komkakchingmantakM10,i ŋ,post,1.sg.fut.neg; 1.sg.fut.neg; 1.pl.incl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.sg.nfut.neg; 1.sg.nfut.neg; 1.sg.nfut.neg; 1.pl.incl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.incl.3.pl.nfut.neg,komkakchingmantak072; komkakchingmantak073; komkakchingmantak076; komkakchingmantak077; komkakchingmantak078; komkakchingmantak079; komkakchingmantak080; komkakchingmantak081; komkakchingmantak082; komkakchingmantak083; komkakchingmantak084; komkakchingmantak091; komkakchingmantak092; komkakchingmantak095; komkakchingmantak098; komkakchingmantak213; komkakchingmantak214; komkakchingmantak215; komkakchingmantak219; komkakchingmantak220; komkakchingmantak221; komkakchingmantak222; komkakchingmantak223; komkakchingmantak224; komkakchingmantak225; komkakchingmantak226; komkakchingmantak227; komkakchingmantak228; komkakchingmantak236; komkakchingmantak237; komkakchingmantak238; komkakchingmantak239; komkakchingmantak240; komkakchingmantak241; komkakchingmantak245; komkakchingmantak248,komkakchingmantak
komkakchingmantakM11,k a,post,1.sg.fut.aff; 1.sg.fut.aff; 1.pl.excl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff,komkakchingmantak008; komkakchingmantak009; komkakchingmantak011; komkakchingmantak014; komkakchingmantak015; komkakchingmantak016; komkakchingmantak017; komkakchingmantak019; komkakchingmantak020; komkakchingmantak022; komkakchingmantak023; komkakchingmantak028,komkakchingmantak
komkakchingmantakM12,k a,pre,1.sg.nfut.aff; 1.pl.excl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff,komkakchingmantak141; komkakchingmantak143; komkakchingmantak145; komkakchingmantak147; komkakchingmantak149; komkakchingmantak152; komkakchingmantak153; komkakchingmantak155; komkakchingmantak158; komkakchingmantak160; komkakchingmantak165,komkakchingmantak
komkakchingmantakM13,k a n,post,1.pl.excl.3.sg.fut.aff,komkakchingmantak024,komkakchingmantak
