sound_id,sound_clts,sound_phoible,label,CLTS_id,PHOIBLE_id,class,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,language_id
d,d,d,voiced alveolar stop consonant,voiced_alveolar_stop_consonant,E6253384902D489FDB1FE487B7ED4AB2,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-,komkakchingmantak
h,h,h,voiceless glottal fricative consonant,voiceless_glottal_fricative_consonant,E7FBD92350B3CA8B7B5D77E36A607068,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-,komkakchingmantak
k,k,k,voiceless velar stop consonant,voiceless_velar_stop_consonant,5A838FF4DABE1950734CFAFAB9383903,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-,komkakchingmantak
m,m,m,voiced bilabial nasal consonant,voiced_bilabial_nasal_consonant,5AE9663626770D1D4B97AAE5769AB83C,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-,komkakchingmantak
n,n,n,voiced alveolar nasal consonant,voiced_alveolar_nasal_consonant,E03DA215BAB0A158BA5D1CB5C4D5D6FD,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-,komkakchingmantak
s,s,s,voiceless alveolar sibilant fricative consonant,voiceless_alveolar_sibilant_fricative_consonant,7FF174469DAC4E61520F4E1610B2F088,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,komkakchingmantak
t,t,t,voiceless alveolar stop consonant,voiceless_alveolar_stop_consonant,9F90F95459807624A486F03FE5A89978,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,komkakchingmantak
tʃ,tʃ,t̠ʃ,voiceless post-alveolar sibilant affricate consonant,voiceless_post-alveolar_sibilant_affricate_consonant,1348048F53951A5E29ABA6D5360925BA,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,komkakchingmantak
w,w,w,voiced labio-velar approximant consonant,voiced_labio-velar_approximant_consonant,501394D0E2658752D9DA624E7DEBE14B,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,+,-,-,-,-,-,-,-,komkakchingmantak
ŋ,ŋ,ŋ,voiced velar nasal consonant,voiced_velar_nasal_consonant,941ED37AAF5E9C4E1B40D85008C6B2D9,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-,komkakchingmantak
a,a,a,unrounded open front vowel,unrounded_open_front_vowel,72FB536ACFF408163656BBCDAFCAC6F6,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,komkakchingmantak
aa,aː,aː,long unrounded open front vowel,long_unrounded_open_front_vowel,2F272C9C5FA2DA70706B565B2DC46DE8,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,komkakchingmantak
e,e,e,unrounded close-mid front vowel,unrounded_close-mid_front_vowel,199408E3D0668F10F475143F0E8CC0CB,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0,komkakchingmantak
i,i,i,unrounded close front vowel,unrounded_close_front_vowel,F0585BB57111C322D6E7DABB0D01F9EA,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0,komkakchingmantak
o,o,o,rounded close-mid back vowel,rounded_close-mid_back_vowel,5AC0158A367D59E8C16A876321E578AB,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0,komkakchingmantak
u,u,u,rounded close back vowel,rounded_close_back_vowel,58EB693AE523323410326D60806B9ADF,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0,komkakchingmantak
Σ,Σ,Σ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,komkakchingmantak
